time,open,high,low,close,volume
2018-06-29 00:00:00,418.0,421.5,417.0,420.5,295
2018-06-29 04:00:00,421.0,422.0,412.5,413.0,676
2018-06-29 08:00:00,413.0,417.5,404.5,412.0,899
2018-06-29 12:00:00,412.0,415.0,406.0,407.0,576
2018-06-29 16:00:00,407.0,412.0,402.5,408.0,716
2018-06-29 20:00:00,408.5,411.0,404.5,410.0,550
2018-07-02 00:00:00,449.53,450.55,445.5,449.0,954
2018-07-02 04:00:00,448.5,449.0,443.0,443.5,927
2018-07-02 08:00:00,444.0,450.0,441.0,447.0,1193
2018-07-02 12:00:00,447.0,448.5,445.0,446.0,1264
2018-07-02 16:00:00,446.5,474.5,446.5,469.0,2350
2018-07-02 20:00:00,469.0,477.5,468.0,472.5,798
2018-07-03 00:00:00,473.07,479.86,470.5,470.5,1349
2018-07-03 04:00:00,470.5,483.5,469.5,479.5,943
2018-07-03 08:00:00,479.5,480.5,473.0,474.5,995
2018-07-03 12:00:00,474.0,476.0,462.5,468.5,1046
2018-07-03 16:00:00,468.5,468.5,463.5,467.0,780
2018-07-03 20:00:00,466.5,468.5,460.0,466.5,993
2018-07-04 00:00:00,468.07,468.3,452.5,453.5,2942
2018-07-04 04:00:00,453.5,455.5,449.5,455.5,511
2018-07-04 08:00:00,455.5,464.5,454.5,461.5,633
2018-07-04 12:00:00,461.5,468.5,460.5,467.5,646
2018-07-04 16:00:00,467.5,480.5,466.5,469.5,1124
2018-07-04 20:00:00,469.5,472.5,469.5,471.5,694
2018-07-05 00:00:00,472.97,473.21,458.5,463.0,1504
2018-07-05 04:00:00,463.5,472.5,463.0,470.0,1370
2018-07-05 08:00:00,469.5,473.0,466.0,469.5,1508
2018-07-05 12:00:00,469.0,475.5,466.5,473.0,1830
2018-07-05 16:00:00,472.5,473.5,461.5,467.0,1577
2018-07-05 20:00:00,466.5,468.0,456.0,460.0,1949
2018-07-06 00:00:00,461.44,466.5,459.5,463.5,902
2018-07-06 04:00:00,463.5,466.5,462.0,464.0,1107
2018-07-06 08:00:00,464.5,465.0,449.0,456.5,1603
2018-07-06 12:00:00,456.5,467.5,454.0,467.5,1443
2018-07-06 16:00:00,467.0,467.5,463.5,464.5,1171
2018-07-06 20:00:00,464.5,472.5,464.5,465.5,1403
2018-07-09 00:00:00,483.0,487.5,482.0,484.5,905
2018-07-09 04:00:00,484.5,484.5,476.5,478.0,867
2018-07-09 08:00:00,478.5,482.5,477.0,479.5,1028
2018-07-09 12:00:00,479.0,481.5,475.5,476.5,1219
2018-07-09 16:00:00,476.5,479.0,472.0,475.0,1380
2018-07-09 20:00:00,474.5,475.5,469.5,473.0,968
2018-07-10 00:00:00,474.02,481.5,465.0,468.5,1074
2018-07-10 04:00:00,469.0,469.5,455.0,460.0,1162
2018-07-10 08:00:00,460.0,460.5,451.0,453.5,1087
2018-07-10 12:00:00,454.0,454.0,425.0,432.5,1555
2018-07-10 16:00:00,432.5,440.5,431.5,435.5,891
2018-07-10 20:00:00,435.5,438.0,431.5,438.0,612
2018-07-11 00:00:00,438.5,439.5,426.5,437.0,1100
2018-07-11 04:00:00,437.0,437.5,428.5,431.0,1212
2018-07-11 08:00:00,431.0,436.5,422.5,436.5,1151
2018-07-11 12:00:00,437.0,444.0,433.0,439.0,1049
2018-07-11 16:00:00,439.5,442.0,433.0,435.0,1016
2018-07-11 20:00:00,435.5,437.0,430.0,435.0,886
2018-07-12 00:00:00,435.49,444.5,435.0,440.0,593
2018-07-12 04:00:00,440.0,440.0,435.0,436.5,631
2018-07-12 08:00:00,436.0,437.0,426.5,431.5,1126
2018-07-12 12:00:00,431.5,433.0,424.0,428.5,915
2018-07-12 16:00:00,429.0,431.5,425.0,430.5,669
2018-07-12 20:00:00,430.5,431.5,424.0,424.5,440
2018-07-13 00:00:00,425.21,432.5,415.0,429.5,939
2018-07-13 04:00:00,430.0,435.5,429.5,433.0,639
2018-07-13 08:00:00,432.5,435.0,431.0,434.5,618
2018-07-13 12:00:00,434.5,439.5,433.5,438.0,620
2018-07-13 16:00:00,438.0,438.0,433.0,435.0,904
2018-07-13 20:00:00,435.5,439.0,423.0,427.0,1482
2018-07-16 00:00:00,450.91,450.91,445.0,445.5,759
